episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
35,20034,white,0-1,-1.0,0.0,64,checkmate,False
36,20035,black,1-0,-1.0,0.0,43,checkmate,False
37,20036,white,0-1,-1.0,0.0,64,checkmate,False
38,20037,black,1-0,-1.0,0.0,43,checkmate,False
39,20038,white,0-1,-1.0,0.0,64,checkmate,False
40,20039,black,1-0,-1.0,0.0,43,checkmate,False
41,20040,white,0-1,-1.0,0.0,64,checkmate,False
42,20041,black,1-0,-1.0,0.0,43,checkmate,False
43,20042,white,0-1,-1.0,0.0,64,checkmate,False
44,20043,black,1-0,-1.0,0.0,43,checkmate,False
45,20044,white,0-1,-1.0,0.0,64,checkmate,False
46,20045,black,1-0,-1.0,0.0,43,checkmate,False
47,20046,white,0-1,-1.0,0.0,64,checkmate,False
48,20047,black,1-0,-1.0,0.0,43,checkmate,False
49,20048,white,0-1,-1.0,0.0,64,checkmate,False
50,20049,black,1-0,-1.0,0.0,43,checkmate,False
51,20050,white,0-1,-1.0,0.0,64,checkmate,False
52,20051,black,1-0,-1.0,0.0,43,checkmate,False
53,20052,white,0-1,-1.0,0.0,64,checkmate,False
54,20053,black,1-0,-1.0,0.0,43,checkmate,False
55,20054,white,0-1,-1.0,0.0,64,checkmate,False
56,20055,black,1-0,-1.0,0.0,43,checkmate,False
57,20056,white,0-1,-1.0,0.0,64,checkmate,False
58,20057,black,1-0,-1.0,0.0,43,checkmate,False
59,20058,white,0-1,-1.0,0.0,64,checkmate,False
60,20059,black,1-0,-1.0,0.0,43,checkmate,False
61,20060,white,0-1,-1.0,0.0,64,checkmate,False
62,20061,black,1-0,-1.0,0.0,43,checkmate,False
63,20062,white,0-1,-1.0,0.0,64,checkmate,False
64,20063,black,1-0,-1.0,0.0,43,checkmate,False
65,20064,white,0-1,-1.0,0.0,64,checkmate,False
66,20065,black,1-0,-1.0,0.0,43,checkmate,False
67,20066,white,0-1,-1.0,0.0,64,checkmate,False
68,20067,black,1-0,-1.0,0.0,43,checkmate,False
69,20068,white,0-1,-1.0,0.0,64,checkmate,False
70,20069,black,1-0,-1.0,0.0,43,checkmate,False
71,20070,white,0-1,-1.0,0.0,64,checkmate,False
72,20071,black,1-0,-1.0,0.0,43,checkmate,False
73,20072,white,0-1,-1.0,0.0,64,checkmate,False
74,20073,black,1-0,-1.0,0.0,43,checkmate,False
75,20074,white,0-1,-1.0,0.0,64,checkmate,False
76,20075,black,1-0,-1.0,0.0,43,checkmate,False
77,20076,white,0-1,-1.0,0.0,64,checkmate,False
78,20077,black,1-0,-1.0,0.0,43,checkmate,False
79,20078,white,0-1,-1.0,0.0,64,checkmate,False
80,20079,black,1-0,-1.0,0.0,43,checkmate,False
81,20080,white,0-1,-1.0,0.0,64,checkmate,False
82,20081,black,1-0,-1.0,0.0,43,checkmate,False
83,20082,white,0-1,-1.0,0.0,64,checkmate,False
84,20083,black,1-0,-1.0,0.0,43,checkmate,False
85,20084,white,0-1,-1.0,0.0,64,checkmate,False
86,20085,black,1-0,-1.0,0.0,43,checkmate,False
87,20086,white,0-1,-1.0,0.0,64,checkmate,False
88,20087,black,1-0,-1.0,0.0,43,checkmate,False
89,20088,white,0-1,-1.0,0.0,64,checkmate,False
90,20089,black,1-0,-1.0,0.0,43,checkmate,False
91,20090,white,0-1,-1.0,0.0,64,checkmate,False
92,20091,black,1-0,-1.0,0.0,43,checkmate,False
93,20092,white,0-1,-1.0,0.0,64,checkmate,False
94,20093,black,1-0,-1.0,0.0,43,checkmate,False
95,20094,white,0-1,-1.0,0.0,64,checkmate,False
96,20095,black,1-0,-1.0,0.0,43,checkmate,False
97,20096,white,0-1,-1.0,0.0,64,checkmate,False
98,20097,black,1-0,-1.0,0.0,43,checkmate,False
