episode,seed,agent_color,result,reward,score,plies,termination,illegal_action
330,94329,black,1/2-1/2,0.0,0.5,136,threefold_repetition,False
331,94330,white,1/2-1/2,0.0,0.5,111,stalemate,False
332,94331,black,1/2-1/2,0.0,0.5,125,threefold_repetition,False
333,94332,white,1/2-1/2,0.0,0.5,106,threefold_repetition,False
334,94333,black,0-1,1.0,1.0,100,checkmate,False
335,94334,white,1/2-1/2,0.0,0.5,72,threefold_repetition,False
336,94335,black,0-1,1.0,1.0,172,checkmate,False
337,94336,white,1/2-1/2,0.0,0.5,130,threefold_repetition,False
338,94337,black,1/2-1/2,0.0,0.5,107,threefold_repetition,False
339,94338,white,1/2-1/2,0.0,0.5,161,insufficient_material,False
340,94339,black,0-1,1.0,1.0,4,checkmate,False
341,94340,white,1-0,1.0,1.0,155,checkmate,False
342,94341,black,0-1,1.0,1.0,106,checkmate,False
343,94342,white,1/2-1/2,0.0,0.5,85,threefold_repetition,False
344,94343,black,0-1,1.0,1.0,68,checkmate,False
345,94344,white,1/2-1/2,0.0,0.5,26,threefold_repetition,False
346,94345,black,0-1,1.0,1.0,82,checkmate,False
347,94346,white,1/2-1/2,0.0,0.5,84,threefold_repetition,False
348,94347,black,1-0,-1.0,0.0,157,checkmate,False
349,94348,white,1/2-1/2,0.0,0.5,52,threefold_repetition,False
350,94349,black,1-0,-1.0,0.0,27,checkmate,False
351,94350,white,1-0,1.0,1.0,61,checkmate,False
352,94351,black,0-1,1.0,1.0,18,checkmate,False
353,94352,white,1-0,1.0,1.0,13,checkmate,False
354,94353,black,1/2-1/2,0.0,0.5,175,insufficient_material,False
355,94354,white,1/2-1/2,0.0,0.5,200,max_plies,False
356,94355,black,1/2-1/2,0.0,0.5,172,threefold_repetition,False
357,94356,white,1/2-1/2,0.0,0.5,200,max_plies,False
358,94357,black,1/2-1/2,0.0,0.5,192,insufficient_material,False
359,94358,white,1-0,1.0,1.0,111,checkmate,False
360,94359,black,1-0,-1.0,0.0,51,checkmate,False
361,94360,white,1-0,1.0,1.0,35,checkmate,False
362,94361,black,1/2-1/2,0.0,0.5,192,threefold_repetition,False
363,94362,white,1-0,1.0,1.0,83,checkmate,False
364,94363,black,0-1,1.0,1.0,46,checkmate,False
365,94364,white,1-0,1.0,1.0,47,checkmate,False
366,94365,black,1/2-1/2,0.0,0.5,177,threefold_repetition,False
367,94366,white,1-0,1.0,1.0,65,checkmate,False
368,94367,black,0-1,1.0,1.0,44,checkmate,False
369,94368,white,1/2-1/2,0.0,0.5,93,threefold_repetition,False
370,94369,black,0-1,1.0,1.0,136,checkmate,False
371,94370,white,1-0,1.0,1.0,71,checkmate,False
372,94371,black,0-1,1.0,1.0,60,checkmate,False
373,94372,white,1/2-1/2,0.0,0.5,148,threefold_repetition,False
374,94373,black,0-1,1.0,1.0,86,checkmate,False
375,94374,white,1/2-1/2,0.0,0.5,40,threefold_repetition,False
376,94375,black,1/2-1/2,0.0,0.5,200,max_plies,False
377,94376,white,1-0,1.0,1.0,157,checkmate,False
378,94377,black,0-1,1.0,1.0,54,checkmate,False
379,94378,white,1/2-1/2,0.0,0.5,102,threefold_repetition,False
380,94379,black,1/2-1/2,0.0,0.5,98,threefold_repetition,False
381,94380,white,1/2-1/2,0.0,0.5,197,threefold_repetition,False
382,94381,black,0-1,1.0,1.0,176,checkmate,False
383,94382,white,1-0,1.0,1.0,71,checkmate,False
384,94383,black,0-1,1.0,1.0,102,checkmate,False
385,94384,white,1-0,1.0,1.0,75,checkmate,False
386,94385,black,0-1,1.0,1.0,20,checkmate,False
387,94386,white,1-0,1.0,1.0,15,checkmate,False
388,94387,black,1/2-1/2,0.0,0.5,200,max_plies,False
389,94388,white,1-0,1.0,1.0,19,checkmate,False
390,94389,black,1/2-1/2,0.0,0.5,116,threefold_repetition,False
391,94390,white,1/2-1/2,0.0,0.5,169,threefold_repetition,False
392,94391,black,1/2-1/2,0.0,0.5,42,threefold_repetition,False
393,94392,white,1/2-1/2,0.0,0.5,200,max_plies,False
394,94393,black,0-1,1.0,1.0,54,checkmate,False
395,94394,white,1/2-1/2,0.0,0.5,96,threefold_repetition,False
396,94395,black,1/2-1/2,0.0,0.5,100,threefold_repetition,False
397,94396,white,1/2-1/2,0.0,0.5,140,threefold_repetition,False
398,94397,black,1/2-1/2,0.0,0.5,139,threefold_repetition,False
399,94398,white,1-0,1.0,1.0,49,checkmate,False
400,94399,black,1/2-1/2,0.0,0.5,53,threefold_repetition,False
401,94400,white,1-0,1.0,1.0,27,checkmate,False
402,94401,black,0-1,1.0,1.0,158,checkmate,False
403,94402,white,1-0,1.0,1.0,87,checkmate,False
404,94403,black,0-1,1.0,1.0,122,checkmate,False
405,94404,white,1-0,1.0,1.0,83,checkmate,False
406,94405,black,1/2-1/2,0.0,0.5,148,threefold_repetition,False
